,sentiment,tweet
76937,0,@RERB vos rampes poisseuses et les odeurs de poissons dés le matin
46671,1,Pourquoi le train qui est passé en contre sens ne s'est pas arrêté à Bures sur Yvette? Je ne comprends vraiment pas... on avait largement le temps de changer de quai sans se chambouler et on serait presque arrivés à l'heure qu'il est !
21263,1,"@RERB Wsh les cousins, à quelle h part le dernier train à destination de Massy Palaiseau aujourd'hui ?"
127754,0,@rerb Vous etes serieux quand vous decidez de ne pas deservir la gare du vert galant ?
1956,0,"@RERB semaine noire du B. Panne électrique, incident de signalisation...Il MARCHE QUAND, VOTRE RER ???"
123221,1,@RERB est-ce qu'il y a des trains qui circulent au départ de Massy pour rallier Paris ? Et combien de temps de trajet en moyenne ? Merci !!
7883,0,"Mais qui gère le rer B? Parce que franchement, il faut que cette personne change!!! Ce n’est plus possible d’avoir une gestion aussi catastrophique!
Un rer vient de passer sans s’arrêter à La Croix de Berny avec de la place; alors que les 3 derniers rer était bondés!"
73237,0,"Pour éviter les malaises, il serait bon de respecter les horaires et d'allumer l'air conditionné !"
47335,0,"lol ! Comme hier ? Déjà qu'avec 3 trains par quart d'heure, ça avait du mal à passer, alors ce matin, avec un train toutes les 3 min, ça va être quoi ? 2h de retard ?"
58879,1,"@rerb #rerb bonjour, et hop un train supprimé direction Paris depuis Mitry Mory."
124584,0,@RERB 😠
42031,0,@RERB deux trains en provenance de Roissy CDG qui passent vides et qui ne marquent pas l’arret ! On paye pour ça ?! Pour un service aussi ridicule et minable ?! En totale inadéquation avec la réalité !
51386,1,Pourquoi le trafic est trafic est interrompu dans les 2sens? Pourqqchose qui n’est pas dans notre sens?
15985,1,@RERB @myckaafroforce @ClientsRATP Est ce que le métro ligne 10 fonctionne au départ e St Michel pour se rendre à Jussieu RT Hermy76513091
102224,1,"c'est drôle, le conducteur vient de nous annoncer que le trafic était très perturbé à cause d'un problème à Gentilly..."
13757,0,Vous me faite bien rire. C est bizarre il y avait moins de problème de rer quand c était la grève. Bande de putin. Vous respectez personne. Le chauffeur du rer a quoi ??? Il a oublier de boire sont café avant de partir ? Il a mal au doigt ?? Pff bande de con
60131,1,@RERB les messages dans le train a port royal et en gare sont perturbants parmanque de contenu et se gardent bien d'evoquer le pb de securite en cours a gare du nord signale ici ... :-(
34991,0,C'est pas un QADO le #rerb  :  une avarie sur un train  (  devenue la norme )  et PAF t'es regule. Evidemment a l heure de pointe. Merci  @vpecresse  !  Vous me filez combien pour racheter des trains  ?  500 euros comme pour le velo electrique  ?
128270,0,"“@RERB: 17:48, le trafic est perturbé de St-Michel N.-D. vers Aeroport CdG 2 / Mitry - Claye (panne de matériel) #RERB”😒 vivement next week."
46468,0,@RERB ça fait 1h ds le #rerb depuis Villepinte et même pas encore à la Courneuve c est abusé
55547,0,Bonjour comme pour tout le monde en communiquant sur l’état réel du trafic ( perturbé ne veut rien dire) un idil en 10mn à Bagneux évidemment on ne peut pas du tout monter dedans. Des sans arrêts affichés ensuite comme d’hab. chapeau la regul. Bref 1h? 2h ? Plus avant de monter ?
64560,1,"Bonjour Joy. Pourquoi ""malgré""  ?   #RERB"
79120,2,@RERB  Pour demain Lundi 9 est qu'il il aurais du RER B de Parc des Expositions pour aller au aéroport Charles de Gaulle au 5:23 du matin? Merci. #RERB
109796,0,"@RERB 5 bus, merci # monseigneur, vous êtes trop bon (à défaut d'être compétent).N'oubliez pas d'augmenter la dîme et la gabelle cette année"
80483,0,Euh cela fait suite à 2 problèmes plus exactement... Il est perturbé depuis plus de 2 heures !
108263,0,le Sud n'était pas touché ? Mettre plus de 2h au lieu de 40min certains jours?  Être entassés ds les rames pdt 3 semaines?Non tjs pas?
87298,1,@RERB Lévi à la plaine stade de France transformer en wkwi + difficultés de fermeture des portes sur some (qui vient de partir) on va prendre le papo... ça va me faire rentrer tôt
108547,0,I així cada dia...
56469,1,@RERB le trafic est il perturbé en direction de Robinson ?
34997,1,Ça redémarre à nouveau. Nous venons de quitter arcueil Cachan
49997,2,Bonjour Alexandra. Avez-vous un remède contre le #JaiPasEnvie ? Bonne journée :)
125850,0,@RERB franchement je veux pas être désagréable mais là tout de suite on s'en tamponne. Merci de bien vouloir donner des info trafic
9764,0,"Oui, je l'ai également fait à Gare du Nord auprès de la SNCF, bien que la dame des objets trouvés m'ait traité comme un malpropre sur ton condescendant sans accepter de faire un signalement et m'obligeant à passer par le site qui n'est pas du tout intuitif pour le RER B"
62118,1,Bonjour dmeiahldboxzvie
98665,1,De Luxembourg a Laplace y'a des trains ?
20226,1,"Dernier départ de l'aéroport CDG2 direction Gare du Nord à 00h06, de Mitry à 00h18."
12937,1,"Bonjour,
Aurais-je une chance d'avoir un train direction Paris en Gare de Fontaine Michalon ce matin ? Déjà retardé 2 fois, c'est pas comme s'il pelait sur le quai de la gare..."
129840,1,@RERB y a des train à sevran ?
118693,1,@RERB.
3090,0,B comme panne.
30338,2,Merci beaucoup
50585,1,Totalement à l'arrêt à la Plaine stade de France. Une idée de temps d'attente Alexandra ?
74950,0,Ca va faire 15 mins d'attente à Denfert pour aller à CdeBerny ! L'affichage raconte n'importe quoi et je parie que la rame sera archi bondée. Marre! #RERB @denismasure
114848,1,@RERB Dans un seul sens ? Comme à chaque fois ?
65639,1,"@RERB plus d un quart d'heure d'attente pour avoir un train qui va vers Massy.
#rerb #lignedélaissée"
47054,1,Bonjour @RERB quel est le problème du latin aujourd'hui ?
132795,0,@RERB par ailleurs la page que vous mettez en lien indique toujours Denfert. Qui croire ? #surprise #qml
104021,0,@RERB coucou ! Il se passe quoi sur la ligne ? C'est l'horreur de Gare de Nord vers le sud.
113161,0,"@RERB le trafic n'est pas perturbé, il a été suspendu. Bloqués à parc des expositions depuis une vingtaine de minutes."
86009,0,@RERB pourquoi il y a 18 min d’attente entre 2 trains de châtelet Les Halles vers la banlieue sud ????
117751,1,@RERB.
102913,0,"Au fait, le CM du @RERB.... Pose ta coupe de champagne et arrêtes de t'empifrer de petits fours... Répare au moins le lien ce soir!"
20595,2,Hi at Gare de Nord no RER. How long should I wait please
79803,1,"@RERB @Yann91 Votre communication n'est pas tres claire Dans tout les cas, les trains s'arretent a Orsay C'est la desserte omnibus entre Massy et Orsay qui saute en cas de pbs, comme d'habitude #RERB #TeamRERB RT Jeannot911"
90467,0,"@RERB Alors non en fait, le trafic n'est PAS DU TOUT regulier &gt; on roule au ralenti depuis Gare du Nord en directio  RT Elise_Gabrielle"
94359,1,J'etais a Gare du nord et j'ai pu le prendre. Mais pourquoi tous les rer en direction de robinson ont-ils ete annulé ?
108291,0,sont chanceux les supporters ! Les usagers (betails) du quotidien beaucoup moins !
27889,0,"Y'a toujours un putain de truc sur cette ligne, je suis au bord de la dépression putain"
109565,1,Vous avez 140 caractères pour écrire une phrase compréhensible...un effort serait vivement apprécié :)
77378,0,@denismasure  vous branlez quoi ? ramassis d'incompetents.
49215,2,@RERB Oui pas de souci rer b fonctionne bien sûr aéroport CDG 2 vers Paris RT user_farid
21050,2,Merci bon courage à vous équipe sur place à châtelet ça hurle ça se tape pas facile du toit
16148,2,"@RERB hello, dernier départ de Gare du Nord à Mitry Claye svp?"
109727,2,merci mais c'est pas le retour c'est l'aller et j'ai encore #ligne6 et #ligne9 à prendre... pas arrivée ! :)
20251,0,Ok mais la fin de la grève c’est pour quand ? En gros ça va continuer en janvier si le gouvernement ne se bouge pas ?
110306,1,Est-ce que les trains vont quand même jusqu'a Massy pal ?
75311,0,"Donc système pas du tout adapté pour un train comme le #RERB et ses nombreux arrêts portes ouvertes...enfin, c'est reconnu et avoué. Les mecs qui ont pensé ça se sont bien plantés finalement...et notre ressenti de fournaise est donc bien REEL !"
34116,0,Rien n'a bougé depuis 2016. https://www.rerb-leblog.fr/retour-incident-trafic-fortement-perturbe-hier-apres-midi-rer-b/ …
95343,0,@RERB pk sur votre site votre trafic est au vert et cela fait 10 min que nous sommes bloqué entre sdf et gdn
81216,1,Bonjour Julien! Pourquoi faire des trains terminus Laplace? les voyageurs vont au moins jusqu'à Denfert ! Personne ne veut aller à La place!
42184,1,@RERB bonjour on peut savoir pourquoi les bus ne circulent pas on est bloqué à orsay depuis 30 min ? Merci
36616,2,"Bonjour Alexandra. Je râlerai pas aujourd'hui, suis fatigué...un peu de repos pour vous :) Bon courage à toutes deux pour votre week end."
38657,1,Je m'incline 😂😂😂😂😂
23743,2,"@RERB bonsoir, je voudrais savoir les horaires de demain de sud vers gdn, Svp. Merci"
51415,0,"340 balles d'impôts par français et par an pour tout le temps nous faire chier, c'est hallucinant"
127850,0,@RERB @jphuchon @vpecresse je plein vraiment les touristes qui arrivent par l'aéroport ! C'est de plus en plus dur de rejoindre Paris...
12564,1,@RERB #RERB y a t’il des RERB ce matin de BLR à Paris ? Les apps de transport me proposent que des bus. Que se passe t il ?
76963,1,Ca me manque pas du tout le rerB la ou je suis. Bon courage les parisiens
57998,1,Combien de temps avant une reprise du trafic ?
94927,1,"Le train est arrêté depuis 10 minutes, aucune annonce du chauffeur .."
30048,1,"Bonjour
Pour quelle raison PIST34 a-t-il été supprimé de Denfert (ou d'une autre gare en amont?) #RERB #TeamRERB"
45281,1,Je vois personne à châtelet avec de l’eau :/
86466,0,C’est bien malin car EMOI est blindé alors qu’IDOL qui ne s’est pas arrêté pour régulation était vide ! Bravo bravo.
62022,0,Ah bon arrive t il vraiment ???
93846,1,Pourriez-vous publier un rapport des incidents mois par mois? Il me semble que le mois d'Août a été le moins affecté jusqu'alors.
10905,2,"@RERB Bonjour, j'ai oublié un sac easpak noir dans le rer B ce matin, au niveau de Port Royal à 11h13 qui était en direction de Aéroport Charles de Gaulle. Si quelqu'un l'a trouvé qu'il me recontacte rapidement, merci d'avance..."
126217,0,@RERB rien a voir avec les horaires prevues. Vs pensez pas aux gens qui habitent a st remy
56423,1,Bonjour le K de 7h35 passera t-il en gare d’Aulnay-sous-Bois ? Merci
43876,0,@RERB va falloir penser à changer les méthodes de gestion de crise... Un soir de départ en vacances impossible de rentrer c'est chaud quand meme #ParisVie #RERB
126115,1,@RERB Quand est-ce que le trafic reprendra normalement?
119113,1,@RERB.
55128,0,Un obstacle c’est quand vous n’osez pas dire un grain de sable ! On a été horriblement perturbé par une feuille morte aujourd’hui.
21404,1,"Bonsoir, y’a t’il toujours des trains de Aulnay-sous-Bois en direction de Gare du Nord ?"
131237,0,@RERB et de déplorable :  http://www.linternaute.com/dictionnaire/fr/definition/deplorable/ …
24716,0,Les branleurs de la France sont encore une fois en grève !!!!! Plus que marre de cette société vivement l'automatisation de toutes les lignes ratp et sncf !!!!!!
16602,0,"Super Vous aviez annoncé effectivement ce départ il y a une heure
Et l'appli RATP l'a mis en visibilité vers 16h40...
Quelle belle coordination"
7753,1,quand partirons nous ?
61235,0,"Je suis actuellement dans le rer b direction St Rémy: le chauffage est à fond c'est insoutenable.Les personnes s'eventent, une est au bord du malaise!"
65377,0,J'ai envie de dire : incroyable du cul ! pic.twitter.com/is4cceRAHD
96110,0,Je vous vous foutez vraiment de la gueule du monde ! #RERB
21665,1,@RERB bonsoir c'c'est quoi le souci dans le b qui arrive à stade de France ?
50252,1,Je confirme ! Annonces très claires! Bon. Moi les Orsay ne me servent pas à grand chose car ils ne s’arrêtent pas à Arcueil mais pour ceux qui veulent les prendre c’est toujours mieux qu’attendre sans comprendre ce qui se passe!
25241,0,@RERB bonjour vous dites que le trafic est normal mais c est faux le rer à Fontaine Michalon de 7h41 pour Paris est supprimé et le prochain est qu a 50 .... encore une fois l information voyageur est désastreuse et je vous parle même pas du coup d hier soir ... et on paye pour ça
24912,0,@RERB Pas de chauffage. J'ai l'impression de voyager dans un frigo !
38009,2,"Bonjour Alexandra, pourriez-vous détailler la circulation par branche ? Combien de train sur chacune des deux branches du sud ? Allez-vous publier une grille horaire. Merci."
26383,1,@RERB bonjour quelle est la circulation entre antony et châtelet merci
15230,0,"Si ces horaires sont vrais, honte à vous et à tous les incapables qui vous dirigent ! pic.twitter.com/hTJQzcaZ5x"
32699,2,Non il est reparti en mode turbo. Espérons qu’il continue ainsi 😅
12993,0,"@RERB Circulation extrêmement compliquée aujourd'hui, tous les trains et quais bondés dans Paris intra-muros (au moins à partir de Luxembourg). Et pourtant aucune perturbation annoncée officiellement (notamment sur les quais). #TeamRERB #RERB RT Nicourjaud"
63759,0,@RERB Bonjour. Je viens de signaler à @IDFmobilites le fait que vous ne communiquiez pas sur les incidents ayant pour origine l'infrastructure. #teamRERB @Jeannot911 Pour faire de même :  https://docs.google.com/document/d/1KPRq-vC8qFaFxaYwLk4zIVyiSQ06l81yqXDyCQiZq78/edit … sur  https://www.iledefrance-mobilites.fr/contact/  #rerb pic.twitter.com/oEZfGuunBP
35017,0,"Double effet ""restez à quai"" pour Arcueil...."
76771,0,@RERB le Orsay prévu il y a deux minutes qui vient de sauter à villeparisis c'est quoi encore??? J'essaye d'être en avances vous allez encore me mettre en retard???? C'est vraiment insuportable à force
49578,0,"1h plus tard. J'ai brillamment fini trois niveaux difficiles sur Candy Crush. J'ai aussi appelé mon employeur qui, optimiste comme il est, me dit de faire au plus vite. ""Peut-être que le client acceptera de vous voir"", me dit-il. Ah !"
98489,0,"@RERB bloqués à la courneveuve. Quelle situation pour arriver à GDN?
Déjà plus d'1h pour faire 6 stations..."
67523,0,"Quand un voyageur tire le signal d'alarme 2 fois de suite : acte de malveillance
Quand des câbles sont endommagés après des travaux : incident technique
Deux poids, 2 mesures la façon dont sont présentés les informations #RERB #TeamRERB"
14832,0,Le trafic est une catastrophe ce matin.
60827,0,"Bonjour,  #RERB perturbé comment le 7 décembre ? Il est difficile de s'organiser avec une annonce aussi tardive et aussi imprécise ! Merci d'avance pour les précisions apportées...@denismasure @RERB @IDFmobilites"
70183,0,@RERB toujours en retard. J'en ai marre avec votre service null.
1247,0,Bonjour Joy.  Encore un matin avec des problèmes. Encore au ralenti. Le mot lassant n'est plus assez fort ! Une journée ou je vais devoir récupérer le temps perdu par l'incompétence de la SNCF...ou autre société travaillant pour la SNCF.
117293,1,@RERB.
12272,1,@RERB bonjour que se passe t-il a CDG2 ? pic.twitter.com/cblIzSlIQN
24426,1,@RERB j'ai cru voir que le covoiturage était pris en charge par SNCF mais impossible de retrouver l'article que vous aviez partagé ?
7042,0,"Bonjour Joy, Aucun soucis ! Vraiment ?? #RERB pic.twitter.com/HsLS81riIJ"
34468,0,on perd patience dépêchez vous ou des gens vont descendre sur les voix
16889,1,"Industrial action 13/01 : St-Rémy/Robinson to Gare du Nord, 1 train out of 2 all day. Gare du Nord to CDG Airport : 1 train every 15 mn until 11 p.m"
76373,1,@RERB on peut avoir des prévisions sur notre train bloqué entre st Michel et châtelet?! Une annonce du conducteur!
65660,1,Consistent
118769,1,@RERB.
55503,0,C'est quoi l'intérêt de faire partir le RER B à côté du nôtre en premier alors qu'il est arrivé après ? Vous nous les cassez. Cordialement.
11207,1,Eh mais bouffez vos morts sérieux.
113668,2,@RERB Ça doit être la panique au PCC… courage aux personnels et aux voyageurs.
25597,0,@RERB toujours un problème tous les jours ca change pas et maintenant la ligne 6 qui s’y met.
5414,0,Mais c’est rétabli ou pas bordel ?
36784,0,@RERB niquez tous vos grands mort bande de sale fils de putes y'a pas un jour sans problème ça fait 7 ans que je le prends à chaque fois il se passe quelque chose crevez en enfers
90859,1,Hello. Pas de ligne de bus/car de substitution ?
121652,1,@RERB.
61612,1,Combien de temps précisément @RERB ?
126915,0,@RERB Et tous les trains omnibus??!!?? pour info ya des gens qui font vivre le pays l'été en travaillant! #danslecullesusagers
109131,0,@RERB et sinon la climatisation est aussi en grève ?
29380,0,"Les problèmes de ce matin font suite aux travaux d'hier soir ? 
Ou c'est un échauffement avant le 5 décembre ?"
132031,1,@RERB @RERB_moods #RERB bonjoooooouuuur pic.twitter.com/FQs8v0Fqfx
9781,0,@RERB votre rer direction Paris voie 2 au Blanc-Mesnil il s'est pas arrêté enfaite donc jsp c'est quoi encore votre souci aujd
40743,0,@RERB deux jours d’affilés que la mission LASO patiente pour laisser passer le train derrière à Laplace. Ce qui entraîne 5 mn d’attente pour rien et un ralentissement après. Une explication ?
110334,0,dans les 2 sens ? Ça ne roule pas du tout ?
50187,0,Quuuuuuuoooooooooooooiiiiiiiiii Joy ?
72866,0,@RERB vraie question : quand un train va-t enfin arriver à denfert ? Vos panneaux ne servent à rien et n’arrêtent pas de prendre des minutes en plus. Y a-t-il vraiment un train bientôt ou doit on faire autrement?
19848,1,À quel heure passera le prochainement train à la destination d'Orsay à denfert svp ?
93496,1,et les prélevements mensuels Navigo ? 1 sur 2 aussi ?
132074,0,Ta mère la grosse chienne. RT  “@RERB: La panne de signalisation se situe entre Gare du Nord et Châtelet #RERB”
124743,0,"@RERB moi aussi je t'aime. D'ailleurs, nous passons toujours plus de temps que prévu ensemble!"
14965,0,"Enfiiiin...
Ça n'excuse pas la qualité déplorable du service en général mais au moins on va pouvoir aller bosser."
60228,0,@RERB Encore un matin où les rer Mitry Paris ne passent pas à l'heure pour changer ! Le 7h45 n'est tout simplement pas passé et on poireaute comme des cons dans le froid
102026,0,merci les nouveaux horaires
95648,0,"@RERB je te hais, je te méprise, je te vomis dessus #rerbsansclim #rerbbandedenazes"
43193,0,@RERB au secours parlez nous
14998,0,On peut savoir ce qui se passe à Châtelet. Cela fait plus de 5' que le Saint Rémy est indiqué à l'approche.
95639,0,@RERB vous pouvez dire au chauffeur de mettre la clim svp on va crever
112810,0,@RERB 6 min entre Laplace et cachan on peut m'expliquer ? Non parcequ'a ce rythme la je rentre a Robinson a pied ce sera plus rapide hein !
7425,0,Réparez bien vos trains svp.
82061,0,Comment ça se passe pour ceux qui ont un abonnement. Est ce que demain ce sera de zone ?
59294,0,"Houuuuuuu ha ha ha ha ha ha ha et bah, je l'ai échappé belle cette fois!!!! Bonjour Joy! ^^"
88719,0,Le duo gagnant!
23375,1,"Des infos sur la mission qui vient de partir d’Orsay-Ville pour Denfert-Rochereau?
Je suis dedans et le conducteur a dit Massy-Palaiseau terminus ?!?"
85440,0,Et donc les gares entre Massy et Orsay ne sont plus desservies ???????????????????
73008,0,"@RERB Question : Pourquoi en été vous faites toujours circuler les rames MI84, non équipées en air réfrigéré ? Avec les horaires allégées d'été, je suis sur qu'il y a largement suffisamment de rames MI79 (~ 75% du parc) pour assurer toutes les missions. cc @Asso_usagersidf"
40165,0,"Sérieusement? Tous les matins, on a le même problème et vous ne faites rien pour arranger cela. À un moment faut arrêter"
71244,0,Bonjour est-ce possible de mettre la clim ou d'éteindre le chauffage c'est le hammam ici? Rame ZRAB 28174
8995,1,Ni à Massy Verrières.. c'est dommage il n'y a vraiment pas beaucoup de trains ce soir !  #rerb
6190,1,Ça va mettre beaucoup de temps ? Vous nous conseillez de prendre un autre itinéraire ?
71197,0,J’avais un TGV à 18h27 à Gare de l’Est merci pour le courage....
108555,1,le directeur prend il regulierement le rer B ?
73290,0,Et retenu à quai encore 2 minutes... Je vais avoir une perturbation de paiement jusqu'à la fin de l'année vous allez rien comprendre
47456,2,Merci !
77884,0,"@RERB #rerb dix minutes d'attente à Châtelet sans annonce conducteur, juste le répétitif 'nous repartons dans qq instants' + arrêt pleine voie... Tout ça pour aller à GDN hein... J'espère que ce fut plus simple pour aller au  #Stadedefrance"
117174,1,@RERB.
32036,0,"@RERB ok pour la grève. Mais pour aller à l'aéroport cdg et chercher un itinéraire de substitution, l'appli donne.... Le rerb! Youpi ! Comment on fait alors ? Pas sûre que mon boss soit encore enclin à comprendre l'explication du #rerb."
99306,1,@RERB 18h38 arrivé à Mpal. En attente d un train pour pal
127258,2,"@RERB Merci de l'info, et bonne journée à vous aussi."
41734,0,@RERB de merde
71249,2,"Merci, bonne journée"
87184,0,@RERB ah et l'affichage de l'itinéraire dans le train c'est démodé aussi ?
18993,1,Je confirme il y avait bien une personne qui se cachait sous un train à châtelet
129947,0,"Bingo“@RERB: Défaut d'alimentation électrique à Aulnay sous Bois, trafic interrompu ds les 2 sens dans le secteur d'Aulnay sous Bois. #RERB”"
4510,0,Alors on reprend pour aujourd'hui : 1. Incident d'exploitation 2. Bagage oublié 3. Personnes sur les voies. Tout va bien 😐
76010,0,@RERB peut-être vaudrait-il mieux supprimer l’annonce pour Orly en arrivant à Bourg-la-reine dans un RER direction Robinson quand l’orlyval ne fonctionne pas (non plus)!?!
21683,1,"Bonsoir Alexandra, je suis ds le KMZZ94 à Châtelet vers le sud...juste comme ça, c’était 1 RERB en plus ou le dernier en retard?"
23150,1,Est-ce que le terminus Denfert du 6h41 se fait sur le quai 3? Ou sur le quai habituel vers le Nord?
9446,0,@RERB Bonjour Joy. Pas un matin ni un soir sans un problème ou des trains affichés retardés sur la ligne. Peut-on en connaître la raison ? (Paris <=> CDG). Quelle bonne image pour les touristes visitant Paris !
127582,0,"@RERB merci les pddssss, c'est pas parce que vous n'avez pas fait d'étude qu'il faut nous empêcher de passer le bac"
70786,0,Peut-être que personne n’est au courant de ces travaux ? Un acte de bienveillance extérieur ? Qui sait ? 🤷🏻‍♂️@Ville_de_blr
16951,1,"Par curiosité, plutôt que ""mission"", qui est un terme utilisé uniquement par les professionnels, pourquoi ne dit-on pas simplement ""le train JPZZ02"" ?

Dans le même genre, ""titre de transport"" plutôt que ""ticket/billet"" ?"
111392,1,@RERB toujours plus .....😆 https://twitter.com/itele/status/714831457894662145 …
72163,0,@RERB meurs
122745,1,@RERB ... sans compter qu’au delà des touristes ce sont les usagers du quotidien qui souffrent le +
48529,1,@bgoneawayawhile 😭😭
40224,1,@RERB Combien de trains tombent en panne chaque année de 2007 à 2019 ? @marieadamb @ClientsRATP @RATPgroup @RATPGroup_Terr @lauriannerossi @VillaniCedric @StephanieAtger @DumasFrederique copie #RERB #TeamRERB @Courb_RERB @Plusdetrains @DelarueJC @Nialiex https://twitter.com/RERB/status/1160948932362604545 …
69618,0,"@Courb_RERB @co @RERB 
Après 1 heure 30 de détour et d attente pour arrivée à Massy Palaiseau il n y a pas de train!!!
Vous nous conseillez quoi maintenant pour regagner st Rémy. 
Vous manquez de voies de garage à Massy?
Il faut penser à agrandir la gare la fréquence 
Zéro info"
62461,0,"Merci pour l’info. Ça a rendu les conditions de transport pour nombre de voyageurs et pas seulement ceux dans EBRE09, ceux qui n’ont pas pu monter mais aussi pour les trains qui suivaient qui étaient également bondés. Il y de plus en plus de voyageurs. Qu’attend @denismasure ?"
35270,0,Le bouffon..... Et vous en faites de la pub.... Ça tombe bas. Très bas.!
79739,2,Merci.
14212,0,Anticipation? Les températures négatives  ne sont pas une surprise cette semaine pourtant.
18245,0,"On peut avoir une vraie reponse sur le pbr qui fait que deja deux train voire bientot 3 sont supprimes sur sevran livry....

L effet d un train sans arret super!!!!"
13606,0,"@RERB ERIF19 peux tu couper ta clim stp !
Il fait froid"
83510,0,@RERB Euh je ne crois pas  bloque entre GDN et Chatelet RT Shima972
9573,0,"@RERB Sièges de mauvaise facture défoncés, changez-nous ça avant qu'on vous poursuive pour mal de dos quotidien. pic.twitter.com/35g8Cgx7g9"
40225,0,"@pharyde92, encore un... Les trains en panne se succèdent au moins un jour sur 2..."
109212,0,@RERB côté RATP vous vous alignez sur le nord??? Pas de terminus massy pal ce soir.  Donc certains gares c'est même pas 1/3 👎👎👎ras le bol
130520,0,"Merci @RERB pour cette jolie surprise de Noël ! Comme d'hab, vous assurez !"
82923,0,@RERB @petitsoleilmex J'ai du mal a comprendre... j'attends depuis 30 minutes d'aller a CDG  pic.twitter.com/bYUjgbWvCP RT Mame_Mor
43662,0,Pourquoi vous ne faites pas des gifs lors des incidents avec des quais surpeuplés? #RERB #TeamRERB
6825,1,"@RERB Bonjour avez vous une date sur la réouverture de la pacerelle à massy palaiseau ? Car de mémoire elle devait réouvrir après travaux en novembre 2019, mais elle est toujours fermé aujourd'hui."
76122,0,@RERB apparemment on doit encore changer des trains à Massy. C'est ridicule
48860,2,"@RERB Bonjour! La gare de la croix de berny sera bien ouverte demain? Merci, bonne journée."
5462,0,Coup de tazer dans les balloches à ce trou du cul 😡
37644,1,@RERB @LudivineLIPPMAN Bonjour pouvez vous me indiquez un horaire de départ depuis Palaiseau RER b svp RT Med53993105
113271,1,@rerb svp quelles sont les niouzes sur le #rerb ?
124042,0,@RERB Ouah quelle réactivité !!
102261,0,tout les jours y a des incidents😂😂😂.... J'ai plus les mots là...
122084,1,@RERB.
83640,0,@rerb les trains sans arrêt passe aux heures des trains avec arrêt à Lozère tout va bien... bonjour à tous sinon
61433,1,D la réponse D !
11252,0,"Idol est passé devant, puis Mabit aussi et Foutag même, puis Conss aussi. Tous les trains de la matinée sont passés devant ! C'est INCROYABLE votre incapacité à gérer des problèmes.."
16761,2,Merci bccp
65068,0,Les bus de remplacement il sert a rien
103263,1,"@RERB bonjour, étant donné les conditions météorologiques, y'a t-il des problèmes de trafic prévus pour demain?"
89791,1,"@RERB bonjour, pouvez vous m indiquer a quelle heure sera le dernier train ce soir partant de gare du nord jusqu'a s RT Islandmydream"
99217,0,"Temps que vous filtrerez certains twittos, même attitude sur votre Blog, en refusant d'écouter les voyageurs, vos résultats resteront KO"
0,0,@RERB il attend quoi ce rer de malheur pour redémarrer d’Aulnay-sous-Bois? Y’a déjà eu un rer b voix d’en face qui est passé ! (Direction paris)
80899,0,Malin tout ça d'avoir fermé aussi à chatelet la ligne 4
61058,1,@RERB Joy c'est encore le bordel sur le @RERB ce matin ! Des explications ???
59344,2,Je vais d'Aulnay à Paris vers 13 h. Pas de soucis en vue !
2044,0,Comme chaque jour
114579,1,@RERB C'est des fonctions de transfert. mdf(gauche) /em(droite). Enfin ça y ressemble...?
54583,2,merci de votre réponse !
